prompt,completion
Top 5 Broker who sold the units in Specifc Month,"select * from (select broker_name , count(*)  from chatgpt_sale_master where broker_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-AUG-2022' and last_day('01-AUG-2022') 
group by broker_name order by count(*) desc ) where ROWNUM <= 5;"
Top 5 agent who sold the units in last 10 days  by sale value,"select * from (select agent_name , sum(sale_value)  from chatgpt_sale_master where agent_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between sysdate -10  and sysdate
group by agent_name order by sum(sale_value) desc ) where ROWNUM <= 5;"
Top 5 agent who sold the units in last Month by sale value,"select * from (select agent_name , Sum(Sale_value)  from chatgpt_sale_master where agent_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-'||to_char(last_day(add_months(sysdate,-1)),'MON-YYYY') and last_day(add_months(sysdate,-1))
group by agent_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Top 5 agent who sold the units in Specifc Month by sale value,"select * from (select agent_name , Sum(Sale_value)  from chatgpt_sale_master where agent_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-AUG-2022' and last_day('01-AUG-2022') 
group by agent_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Top 5 Broker who sold the units in last 10 days by sale value,"select * from (select broker_name , Sum(Sale_value)  from chatgpt_sale_master where broker_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between sysdate -10  and sysdate
group by broker_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Top 5 Broker who sold the units in last Month by sale value,"select * from (select broker_name , Sum(Sale_value)  from chatgpt_sale_master where broker_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-'||to_char(last_day(add_months(sysdate,-1)),'MON-YYYY') and last_day(add_months(sysdate,-1))
group by broker_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Top 5 Broker who sold the units in Specifc Month by sale value,"select * from (select broker_name , Sum(Sale_value)  from chatgpt_sale_master where broker_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-AUG-2022' and last_day('01-AUG-2022') 
group by broker_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Top 5 Customer who brought the units in last 10 days,"select * from (select customer_name , count(*)  from chatgpt_sale_master where customer_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between sysdate -10  and sysdate
group by customer_name order by count(*) desc ) where ROWNUM <= 5;"
Top 5 Customer who brought the units in last Month,"select * from (select customer_name , count(*)  from chatgpt_sale_master where customer_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-'||to_char(last_day(add_months(sysdate,-1)),'MON-YYYY') and last_day(add_months(sysdate,-1))
group by customer_name order by count(*) desc ) where ROWNUM <= 5;"
Top 5 Customer who brought the units in Specifc Month,"select * from (select customer_name , count(*)  from chatgpt_sale_master where customer_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-AUG-2022' and last_day('01-AUG-2022') 
group by customer_name order by count(*) desc ) where ROWNUM <= 5;"
Top 5 Customer who brought the units in last 10 days by sale value,"select * from (select customer_name , Sum(Sale_value)  from chatgpt_sale_master where customer_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between sysdate -10  and sysdate
group by customer_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Top 5 Customer who brought the units in last Month by sale value,"select * from (select customer_name , Sum(Sale_value)  from chatgpt_sale_master where customer_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-'||to_char(last_day(add_months(sysdate,-1)),'MON-YYYY') and last_day(add_months(sysdate,-1))
group by customer_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Top 5 Customer who brought the units in Specifc Month by sale value,"select * from (select customer_name , Sum(Sale_value)  from chatgpt_sale_master where customer_name is not null
and unit_status IN ('Booked','Reserved')
and BLOCK_DATE between '01-AUG-2022' and last_day('01-AUG-2022') 
group by customer_name order by Sum(Sale_value) desc ) where ROWNUM <= 5;"
Mulitple Agent with same broker,"select agent_name,broker_name from chatgpt_sale_master where broker_name in (
select broker_name from (select broker_name, count(*) from (
select agent_name,broker_name from chatgpt_sale_master where broker_name is not null group by agent_name,broker_name ) group by broker_name having count(*) > 1))
group by agent_name,broker_name order by broker_name"
Mulitple Broker with same agent,"select broker_name,agent_name from chatgpt_sale_master where broker_name is not null and agent_name in (
select agent_name from (select agent_name, count(*) from (
select agent_name,broker_name from chatgpt_sale_master where broker_name is not null group by agent_name,broker_name ) group by agent_name having count(*) > 1))
group by agent_name,broker_name order by agent_name"
Customer brought more then 5 units,"select * from (select customer_name, count(*) from chatgpt_sale_master where  unit_status IN ('Booked','Reserved') group by customer_name order by count(*) desc ) where ROWNUM <= 5;"
